Transaction No,Transaction Type,Batch Owner,Account Name,Payor,Reconcile Date(Days),Deposit Date,Bank Deposit,Remittance,EMR
EFT4018040,EFT Credit,iCAN,Arizona Deposits,CAREFIRST HEALTH,10/1/2024(1),10-01-2024,"$2,18,012.42",$0.00,"$2,18,012.42"
EFT4018041,EFT Credit,iCAN,Texas Deposits,EAGLE WELLNESS,10/1/2024(1),10-01-2024,"$1,51,770.03",$0.00,"$1,51,770.03"
C2962922,EFT Credit,iCAN,Texas Deposits,AMERICAN MED,10/1/2024(1),10-01-2024,"$97,074.41",$0.00,"$97,074.41"
1131150806,EFT Credit,iCAN,Florida Deposits,PATRIOT WELLNESS,10/1/2024(1),10-01-2024,"$73,424.60",$0.00,"$73,424.60"
10931070,EFT Credit,iCAN,Florida Deposits,CAPITAL WELLNESS,10/1/2024(1),10-01-2024,"$55,511.60",$0.00,"$55,511.60"
1131525316,EFT Credit,iCAN,North Carolina Deposits,CAPITAL WELLNESS,10/1/2024(1),10-01-2024,"$53,151.59",$0.00,"$53,151.59"
9TZ76563764,EFT Credit,iCAN,North Carolina Deposits,AMERICAN MED,10/1/2024(1),10-01-2024,"$37,641.03",$0.00,"$37,641.03"
2300849021,EFT Credit,iCAN,North Carolina Deposits,FREEDOM MED,10/1/2024(1),10-01-2024,"$37,350.91",$0.00,"$37,350.91"
1131525315,EFT Credit,iCAN,South Carolina Deposits,UNITY SYSTEMS,10/1/2024(1),10-01-2024,"$35,977.39",$0.00,"$35,977.39"
1001213707,EFT Credit,iCAN,South Carolina Deposits,WELLCARECTCARE,10/1/2024(1),10-01-2024,"$35,009.79",$0.00,"$35,009.79"
1000240578,EFT Credit,iCAN,Arizona Deposits,WELLCARE HEALTH,10/1/2024(1),10-01-2024,"$29,995.59",$0.00,"$29,995.59"
882409001024818,EFT Credit,iCAN,Arizona Deposits,AMERICA CARE,10/1/2024(1),10-01-2024,"$29,509.89",$0.00,"$29,509.89"
7004278271,EFT Credit,iCAN,Texas Deposits,FREEDOM MED,10/1/2024(1),10-01-2024,"$24,402.57",$0.00,"$24,402.57"
882409001002301,EFT Credit,iCAN,Texas Deposits,HOMELAND HEALTH,10/1/2024(1),10-01-2024,"$19,489.57",$0.00,"$19,489.57"
882409001002397,EFT Credit,iCAN,Florida Deposits,AMERICA CARE,10/1/2024(1),10-01-2024,"$11,535.05",$0.00,"$11,535.05"
26846850,EFT Credit,iCAN,Florida Deposits,BLUECROSS BLUESHIELD OF ARIZONA,10/1/2024(1),10-01-2024,"$7,233.92","$7,233.92","$7,233.92"
26825328,EFT Credit,iCAN,North Carolina Deposits,UNITY SYSTEMS,10/1/2024(1),10-01-2024,"$5,128.02",$0.00,"$5,128.02"
471942057,EFT Credit,iCAN,North Carolina Deposits,BLUECROSS BLUESHIELD OF ARIZONA,10/1/2024(1),10-01-2024,"$3,334.32","$3,334.32","$3,334.32"
812342582,EFT Credit,iCAN,North Carolina Deposits,CAREFIRST,10/1/2024(1),10-01-2024,"$3,181.23",$0.00,"$3,181.23"
91048537282,EFT Credit,iCAN,Florida Deposits,AARP Supplementa,10/1/2024(1),10-01-2024,"$2,168.97",$0.00,"$2,168.97"
824092000409203,EFT Credit,iCAN,Florida Deposits,AMERICA CARE,10/1/2024(1),10-01-2024,"$1,535.48",$0.00,"$1,535.48"
472712901,EFT Credit,iCAN,North Carolina Deposits,ZP  AETNA1264,10/1/2024(1),10-01-2024,"$1,130.94",$0.00,"$1,130.94"
C6782141,EFT Credit,iCAN,North Carolina Deposits,AMERICAN MED,10/1/2024(1),10-01-2024,$874.21,$0.00,$874.21
472703834,EFT Credit,iCAN,North Carolina Deposits,ZP  AETNA1264,10/1/2024(1),10-01-2024,$733.90,$0.00,$733.90
473125422,EFT Credit,iCAN,South Carolina Deposits,UNITY SYSTEMS,10/1/2024(1),10-01-2024,$609.80,$0.00,$609.80
2300842574,EFT Credit,iCAN,South Carolina Deposits,FREEDOM MED,10/1/2024(1),10-01-2024,$349.50,$0.00,$349.50
1131525313,EFT Credit,iCAN,Arizona Deposits,CAPITAL WELLNESS,10/1/2024(1),10-01-2024,$301.72,$0.00,$301.72
473124414,EFT Credit,iCAN,Arizona Deposits,UNITY SYSTEMS,10/1/2024(1),10-01-2024,$299.04,$0.00,$299.04
882409001014071,EFT Credit,iCAN,Texas Deposits,HOMELAND HEALTH,10/1/2024(1),10-01-2024,$271.05,$0.00,$271.05
7004275413,EFT Credit,iCAN,Texas Deposits,FREEDOM MED,10/1/2024(1),10-01-2024,$240.89,$0.00,$240.89
