Transaction number,Payer Name,State name,Amount,Deposit Date
EFT4018040,CAREFIRST HEALTH,Arizona,"$2,18,012.42",10-01-2024
EFT4018041,EAGLE WELLNESS,Texas,"$1,51,770.03",10-01-2024
C2962922,AMERICAN MED,Texas,"$97,074.41",10-01-2024
1131150806,PATRIOT WELLNESS,Florida,"$73,424.60",10-01-2024
10931070,CAPITAL WELLNESS,Florida,"$55,511.60",10-01-2024
1131525316,CAPITAL WELLNESS,North Carolina,"$53,151.59",10-01-2024
9TZ76563764,AMERICAN MED,North Carolina,"$37,641.03",10-01-2024
2300849021,FREEDOM MED,North Carolina,"$37,350.91",10-01-2024
1131525315,UNITY SYSTEMS,South Carolina,"$35,977.39",10-01-2024
1001213707,WELLCARECTCARE,South Carolina,"$35,009.79",10-01-2024
1000240578,WELLCARE HEALTH,Arizona,"$29,995.59",10-01-2024
882409001024818,AMERICA CARE,Arizona,"$29,509.89",10-01-2024
7004278271,FREEDOM MED,Texas,"$24,402.57",10-01-2024
882409001002301,HOMELAND HEALTH,Texas,"$19,489.57",10-01-2024
882409001002397,AMERICA CARE,Florida,"$11,535.05",10-01-2024
26846850,BLUECROSS BLUESHIELD OF ARIZONA,Florida,"$7,233.92",10-01-2024
26825328,UNITY SYSTEMS,North Carolina,"$5,128.02",10-01-2024
471942057,BLUECROSS BLUESHIELD OF ARIZONA,North Carolina,"$3,334.32",10-01-2024
812342582,CAREFIRST,North Carolina,"$3,181.23",10-01-2024
91048537282,AARP Supplementa,Florida,"$2,168.97",10-01-2024
824092000409203,AMERICA CARE,Florida,"$1,535.48",10-01-2024
472712901,ZP  AETNA1264,North Carolina,"$1,130.94",10-01-2024
C6782141,AMERICAN MED,North Carolina,$874.21,10-01-2024
472703834,ZP  AETNA1264,North Carolina,$733.90,10-01-2024
473125422,UNITY SYSTEMS,South Carolina,$609.80,10-01-2024
2300842574,FREEDOM MED,South Carolina,$349.50,10-01-2024
1131525313,CAPITAL WELLNESS,Arizona,$301.72,10-01-2024
473124414,UNITY SYSTEMS,Arizona,$299.04,10-01-2024
882409001014071,HOMELAND HEALTH,Texas,$271.05,10-01-2024
7004275413,FREEDOM MED,Texas,$240.89,10-01-2024
1131525314,AMERICA CARE,Florida,$218.64,10-01-2024
1000240589,WELLCARE HEALTH,Florida,$174.75,10-01-2024
1001213709,WELLCARECTCARE,North Carolina,$170.01,10-01-2024
2300849731,FREEDOM MED,North Carolina,$122.70,10-01-2024
472946011,UNITY SYSTEMS,North Carolina,$93.70,10-01-2024
1131525312,CAPITAL WELLNESS,South Carolina,$63.99,10-01-2024
882409001073798,HOMELAND HEALTH,South Carolina,$60.32,10-01-2024
472495447,ZP  CHCSSERVI371,Arizona,$33.64,10-01-2024
C6780509,AMERICAN MED,Arizona,$30.31,10-01-2024
1131525311,UNITY SYSTEMS,Texas,$25.90,10-01-2024
472802780,ZP  AETNA1264,Texas,$20.94,10-01-2024
EFT4018042,EAGLE WELLNESS,Florida,"$3,59,009.68",10-01-2024
1TZ76487081,CAPITAL WELLNESS,Florida,"$1,58,825.91",10-01-2024
EFT4018043,EAGLE WELLNESS,North Carolina,"$1,49,532.22",10-01-2024
9TZ76563770,CAPITAL WELLNESS,North Carolina,"$1,24,910.98",10-01-2024
C2964057,AMERICAN MED,North Carolina,"$91,644.47",10-01-2024
EFT4018045,EAGLE WELLNESS,South Carolina,"$66,351.76",10-01-2024
EFT4018044,EAGLE WELLNESS,South Carolina,"$65,994.39",10-01-2024
10931012,CAPITAL WELLNESS,Arizona,"$11,284.35",10-01-2024
